"Date","Dell.Return","Price..Dell","Calendar.Date"
2001.04167,0.498208,26.125,20010131
2001.125,-0.162679,21.875,20010228
2001.20833,0.174286,25.6875,20010330
2001.29167,0.021509,26.24,20010430
2001.375,-0.071646,24.36,20010531
2001.45833,0.073481,26.15,20010629
2001.54167,0.029828,26.93,20010731
2001.625,-0.20609,21.38,20010831
2001.70833,-0.133302,18.53,20010928
2001.79167,0.294118,23.98,20011031
2001.875,0.164721,27.93,20011130
2001.95833,-0.026853,27.18,20011231
2002.04167,0.011405,27.49,20020131
2002.125,-0.101855,24.69,20020228
2002.20833,0.057513,26.11,20020328
2002.29167,0.008809,26.34,20020430
2002.375,0.019362,26.85,20020531
2002.45833,-0.026443,26.14,20020628
2002.54167,-0.046289,24.93,20020731
2002.625,0.06779,26.62,20020830
2002.70833,-0.116829,23.51,20020930
2002.79167,0.216929,28.61,20021031
2002.875,-0.00035,28.6,20021129
2002.95833,-0.065035,26.74,20021231
2003.04167,-0.107704,23.86,20030131
2003.125,0.129924,26.96,20030228
2003.20833,0.012982,27.31,20030331
2003.29167,0.06115,28.98,20030430
2003.375,0.082471,31.37,20030530
2003.45833,0.014982,31.84,20030630
2003.54167,0.057789,33.68,20030731
2003.625,-0.031473,32.62,20030829
2003.70833,0.024525,33.42,20030930
2003.79167,0.077199,36,20031031
2003.875,-0.039722,34.57,20031128
2003.95833,-0.017067,33.98,20031231
2004.04167,-0.015892,33.44,20040130
2004.125,-0.023624,32.65,20040227
2004.20833,0.029709,33.62,20040331
2004.29167,0.034503,34.78,20040430
2004.375,0.013226,35.24,20040528
2004.45833,0.016459,35.82,20040630
2004.54167,-0.009771,35.47,20040730
2004.625,-0.017762,34.84,20040831
2004.70833,0.021814,35.6,20040930
2004.79167,-0.015168,35.06,20041029
2004.875,0.155733,40.52,20041130
2004.95833,0.03998,42.14,20041231
2005.04167,-0.009018,41.76,20050131
2005.125,-0.03999,40.09,20050228
2005.20833,-0.041656,38.42,20050331
2005.29167,-0.093441,34.83,20050429
2005.375,0.146425,39.93,20050531
2005.45833,-0.011771,39.46,20050630
2005.54167,0.025596,40.47,20050729
2005.625,-0.120336,35.6,20050831
2005.70833,-0.039326,34.2,20050930
2005.79167,-0.067836,31.88,20051031
2005.875,-0.054235,30.151,20051130
2005.95833,-0.006666,29.95,20051230
2006.04167,-0.021369,29.31,20060131
2006.125,-0.010577,29,20060228
2006.20833,0.026207,29.76,20060331
2006.29167,-0.119624,26.2,20060428
2006.375,-0.031298,25.38,20060531
2006.45833,-0.036249,24.46,20060630
2006.54167,-0.113655,21.68,20060731
2006.625,0.040129,22.55,20060831
2006.70833,0.01286,22.84,20060929
2006.79167,0.065236,24.33,20061031
2006.875,0.119605,27.24,20061130
2006.95833,-0.078928,25.09,20061229
2007.04167,-0.034675,24.22,20070131
2007.125,-0.056565,22.85,20070228
2007.20833,0.015755,23.21,20070331
2007.29167,0.08617,25.21,20070428
2007.375,0.067473,26.911,20070531
2007.45833,0.060904,28.55,20070630
2007.54167,-0.020315,27.97,20070731
2007.625,0.010011,28.25,20070831
2007.70833,-0.023009,27.6,20070929
2007.79167,0.108696,30.6,20071031
2007.875,-0.198039,24.54,20071130
2007.95833,-0.001223,24.51,20071229
